id,fantasy_team_id,jersey_id,rider_id,created_at,updated_at
1,1,1,17,"""2025-12-12T15:35:08.661Z""","""2025-12-12T15:35:08.661Z"""
2,1,2,86,"""2025-12-12T15:35:08.661Z""","""2025-12-12T15:35:08.661Z"""
3,1,3,13,"""2025-12-12T15:35:08.661Z""","""2025-12-12T15:35:08.661Z"""
4,1,4,6,"""2025-12-12T15:35:08.661Z""","""2025-12-12T15:35:08.661Z"""
5,2,1,17,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
6,2,2,78,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
7,2,3,162,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
8,2,4,89,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
9,3,1,17,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
10,3,2,26,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
11,3,3,86,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
12,3,4,130,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
13,4,1,162,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
14,4,2,143,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
15,4,3,122,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
16,4,4,86,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
17,5,1,71,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
18,5,2,20,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
19,5,3,89,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
20,5,4,143,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
21,6,1,178,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
22,6,2,6,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
23,6,3,162,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
24,6,4,31,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
25,7,1,122,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
26,7,2,2,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
27,7,3,162,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
28,7,4,26,"""2025-12-13T14:36:46.700Z""","""2025-12-14T07:31:51.173Z"""
101,8,1,125,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
102,8,2,73,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
103,8,4,69,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
104,8,3,2,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
105,9,1,131,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
106,9,2,35,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
107,9,4,17,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
108,9,3,150,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
109,10,4,23,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
110,10,3,162,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
111,10,2,152,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
112,10,1,28,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
113,11,2,176,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
114,11,1,3,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
115,11,4,108,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
116,11,3,177,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
117,12,3,56,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
118,12,4,170,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
119,12,2,110,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
120,12,1,94,"""2025-12-16T07:39:28.984Z""","""2025-12-16T07:39:28.984Z"""
