id,team_pro_id,first_name,last_name,date_of_birth,nationality,weight_kg,height_m,photo_url,first_name_normalized,last_name_normalized
1,21,Tadej,Pogacar,,,,,,tadej,pogacar
2,21,Joao,Almeida,,,,,,joao,almeida
3,21,Jhonatan,Narvaez,,,,,,jhonatan,narvaez
4,21,Nils,Politt,"""1994-03-05T23:00:00.000Z""",Germany,75.0,1.85,,nils,politt
5,21,Pavel,Sivakov,"""1997-07-10T22:00:00.000Z""",France,65.0,1.88,,pavel,sivakov
6,21,Marc,Soler,"""1993-11-21T23:00:00.000Z""",Spain,70.0,1.86,,marc,soler
7,21,Tim,Wellens,"""1991-05-09T22:00:00.000Z""",Belgium,68.0,1.84,,tim,wellens
8,21,Adam,Yates,"""1992-08-06T22:00:00.000Z""",United Kingdom,58.0,1.73,,adam,yates
9,18,Jonas,Vingegaard,"""1996-12-09T23:00:00.000Z""",Denmark,60.0,1.75,,jonas,vingegaard
10,18,Edoardo,Affini,"""1996-06-23T22:00:00.000Z""",Italy,75.0,1.90,,edoardo,affini
11,18,Tiesj,Benoot,"""1994-03-10T23:00:00.000Z""",Belgium,70.0,1.90,,tiesj,benoot
12,18,Victor,Campenaerts,"""1991-10-27T23:00:00.000Z""",Belgium,75.0,1.88,,victor,campenaerts
13,18,Matteo,Jorgenson,"""2000-06-30T22:00:00.000Z""",United States,68.0,1.85,,matteo,jorgenson
14,18,Sepp,Kuss,"""1994-09-12T22:00:00.000Z""",United States,61.0,1.80,,sepp,kuss
15,18,Wout,Van Aert,"""1994-09-14T22:00:00.000Z""",Belgium,78.0,1.90,,wout,van aert
16,18,Simon,Yates,"""1992-08-06T22:00:00.000Z""",United Kingdom,58.0,1.72,,simon,yates
17,15,Remco,Evenepoel,"""2000-01-24T23:00:00.000Z""",Belgium,61.0,1.71,,remco,evenepoel
18,15,Mattia,Cattaneo,"""1990-10-24T23:00:00.000Z""",Italy,68.0,1.80,,mattia,cattaneo
19,15,Pascal,Eenkhoorn,"""1997-02-07T23:00:00.000Z""",Netherlands,72.0,1.88,,pascal,eenkhoorn
20,15,Tim,Merlier,"""1992-10-29T23:00:00.000Z""",Belgium,78.0,1.85,,tim,merlier
21,15,Valentin,Paret-Peintre,,,,,,valentin,paret-peintre
22,15,Maximilian,Schachmann,"""1994-01-08T23:00:00.000Z""",Germany,70.0,1.85,,maximilian,schachmann
23,15,Bert,Van Lerberghe,,,,,,bert,van lerberghe
24,15,Ilan,Van Wilder,"""2000-05-13T22:00:00.000Z""",Belgium,65.0,1.80,,ilan,van wilder
25,7,Ben,Healy,"""2000-09-10T22:00:00.000Z""",Ireland,65.0,1.80,,ben,healy
26,7,Vincenzo,Albanese,"""1996-11-11T23:00:00.000Z""",Italy,68.0,1.80,,vincenzo,albanese
27,7,Kasper,Asgreen,"""1995-02-07T23:00:00.000Z""",Denmark,75.0,1.92,,kasper,asgreen
28,7,Alex,Baudin,"""1996-05-24T22:00:00.000Z""",France,68.0,1.85,,alex,baudin
29,7,Neilson,Powless,"""1996-09-02T22:00:00.000Z""",United States,70.0,1.88,,neilson,powless
30,7,Harry,Sweeny,,,,,,harry,sweeny
31,7,Michael,Valgren,"""1992-02-06T23:00:00.000Z""",Denmark,70.0,1.85,,michael,valgren
32,7,Marijn,Van Den Berg,"""1999-07-18T22:00:00.000Z""",Netherlands,75.0,1.88,,marijn,van den berg
33,10,Biniam,Girmay,"""2000-04-01T22:00:00.000Z""",Belgium,70.0,1.85,,biniam,girmay
34,10,Louis,Barre,,,,,,louis,barre
35,10,Vito,Braet,"""1995-10-17T23:00:00.000Z""",Belgium,70.0,1.85,,vito,braet
36,10,Hugo,Page,"""2001-07-23T22:00:00.000Z""",France,65.0,1.80,,hugo,page
37,10,Laurenz,Rex,"""1999-12-14T23:00:00.000Z""",Belgium,70.0,1.85,,laurenz,rex
38,10,Jonas,Rutsch,"""1998-01-08T23:00:00.000Z""",Germany,75.0,1.88,,jonas,rutsch
39,10,Roel,Van Sintmaartensdijk,"""2000-03-07T23:00:00.000Z""",Netherlands,75.0,1.88,,roel,van sintmaartensdijk
40,10,Georg,Zimmermann,"""1997-10-10T22:00:00.000Z""",Germany,68.0,1.85,,georg,zimmermann
41,3,Santiago,Buitrago,"""1999-09-10T22:00:00.000Z""",Colombia,58.0,1.70,,santiago,buitrago
42,3,Phil,Bauhaus,"""1994-07-07T22:00:00.000Z""",Germany,78.0,1.88,,phil,bauhaus
43,3,Kamil,Gradek,"""1990-09-16T22:00:00.000Z""",Poland,75.0,1.88,,kamil,gradek
44,3,Jack,Haig,"""1993-09-05T22:00:00.000Z""",Australia,62.0,1.78,,jack,haig
45,3,Lenny,Martinez,,,,,,lenny,martinez
46,3,Matej,Mohoric,,,,,,matej,mohoric
47,3,Robert,Stannard,"""1998-09-15T22:00:00.000Z""",Australia,70.0,1.85,,robert,stannard
48,3,Fred,Wright,"""1999-06-12T22:00:00.000Z""",United Kingdom,70.0,1.85,,fred,wright
49,9,Geraint,Thomas,"""1986-05-24T22:00:00.000Z""",United Kingdom,71.0,1.83,,geraint,thomas
50,9,Thymen,Arensman,,,,,,thymen,arensman
51,9,Tobias,Foss,,,,,,tobias,foss
52,9,Filippo,Ganna,"""1996-07-24T22:00:00.000Z""",Italy,82.0,1.93,,filippo,ganna
53,9,Axel,Laurance,"""2001-04-12T22:00:00.000Z""",France,70.0,1.85,,axel,laurance
54,9,Carlos,Rodriguez,,,,,,carlos,rodriguez
55,9,Connor,Swift,,,,,,connor,swift
56,9,Samuel,Watson,,,,,,samuel,watson
57,4,Primoz,Roglic,,,,,,primoz,roglic
58,4,Florian,Lipowitz,,,,,,florian,lipowitz
59,4,Jordi,Meeus,,,,,,jordi,meeus
60,4,Gianni,Moscon,"""1994-04-19T22:00:00.000Z""",Italy,75.0,1.88,,gianni,moscon
61,4,Laurence,Pithie,,,,,,laurence,pithie
62,4,Mick,Van Dijke,,,,,,mick,van dijke
63,4,Danny,Van Poppel,"""1993-07-25T22:00:00.000Z""",Netherlands,78.0,1.85,,danny,van poppel
64,4,Aleksandr,Vlasov,"""1996-04-22T22:00:00.000Z""",Russia,65.0,1.85,,aleksandr,vlasov
65,12,Jonathan,Milan,,,,,,jonathan,milan
66,12,Simone,Consonni,,,,,,simone,consonni
67,12,Thibau,Nys,,,,,,thibau,nys
68,12,Quinn,Simmons,"""2001-05-07T22:00:00.000Z""",United States,65.0,1.80,,quinn,simmons
69,12,Mattias,Skjelmose,,,,,,mattias,skjelmose
70,12,Toms,Skujins,,,,,,toms,skujins
71,12,Jasper,Stuyven,"""1992-04-16T22:00:00.000Z""",Belgium,75.0,1.88,,jasper,stuyven
72,12,Edward,Theuns,"""1991-04-29T22:00:00.000Z""",Belgium,75.0,1.88,,edward,theuns
73,8,Guillaume,Martin,"""1993-06-08T22:00:00.000Z""",France,62.0,1.78,,guillaume,martin
74,8,Lewis,Askey,,,,,,lewis,askey
75,8,Cyril,Barthe,,,,,,cyril,barthe
76,8,Romain,Gregoire,,,,,,romain,gregoire
77,8,Valentin,Madouas,"""1996-07-11T22:00:00.000Z""",France,68.0,1.85,,valentin,madouas
78,8,Quentin,Pacher,"""1992-01-05T23:00:00.000Z""",France,68.0,1.85,,quentin,pacher
79,8,Paul,Penhoet,,,,,,paul,penhoet
80,8,Clement,Russo,,,,,,clement,russo
81,1,Jasper,Philipsen,"""1998-03-01T23:00:00.000Z""",Belgium,78.0,1.85,,jasper,philipsen
82,1,Silvan,Dillier,"""1990-08-02T22:00:00.000Z""",Switzerland,72.0,1.88,,silvan,dillier
83,1,Kaden,Groves,,,,,,kaden,groves
84,1,Xandro,Meurisse,,,,,,xandro,meurisse
85,1,Jonas,Rickaert,"""1994-02-06T23:00:00.000Z""",Belgium,78.0,1.88,,jonas,rickaert
86,1,Mathieu,Van Der Poel,"""1995-01-18T23:00:00.000Z""",Netherlands,75.0,1.84,,mathieu,van der poel
87,1,Gianni,Vermeersch,"""1992-11-18T23:00:00.000Z""",Belgium,75.0,1.88,,gianni,vermeersch
88,1,Emiel,Verstrynge,,,,,,emiel,verstrynge
89,20,Julian,Alaphilippe,"""1992-06-10T22:00:00.000Z""",France,62.0,1.73,,julian,alaphilippe
90,20,Alberto,Dainese,,,,,,alberto,dainese
91,20,Marco,Haller,"""1991-03-31T22:00:00.000Z""",Austria,78.0,1.88,,marco,haller
92,20,Marc,Hirschi,,,,,,marc,hirschi
93,20,Fabian,Lienhard,,,,,,fabian,lienhard
94,20,Marius,Mayrhofer,,,,,,marius,mayrhofer
95,20,Michael,Storer,"""1997-02-27T23:00:00.000Z""",Australia,65.0,1.80,,michael,storer
96,20,Matteo,Trentin,,,,,,matteo,trentin
97,16,Ben,O'Connor,,,,,,ben,o'connor
