id,stage_number,name,start_location,end_location,distance_km,date,is_neutralized,is_cancelled
1,1,Stage 1 | Lille Métropole - Lille Métropole,Lille Métropole,Lille Métropole,184.9,"""2025-07-05T22:00:00.000Z""",false,false
2,2,Stage 2 | Lauwin-Planque - Boulogne-sur-Mer,Lauwin-Planque,Boulogne-sur-Mer,209.1,"""2025-07-06T22:00:00.000Z""",false,false
3,3,Stage 3 | Valenciennes - Dunkerque,Valenciennes,Dunkerque,178.3,"""2025-07-07T22:00:00.000Z""",false,false
4,4,Stage 4 | Amiens Métropole - Rouen,Amiens Métropole,Rouen,174.2,"""2025-07-08T22:00:00.000Z""",false,false
5,5,Stage 5 (ITT) | Caen - Caen,Caen,Caen,33.0,"""2025-07-09T22:00:00.000Z""",false,false
6,6,Stage 6 | Bayeux - Vire Normandie,Bayeux,Vire Normandie,201.5,"""2025-07-10T22:00:00.000Z""",false,false
7,7,Stage 7 | Saint-Malo - Mûr-de-Bretagne (Guerlédan),Saint-Malo,Mûr-de-Bretagne (Guerlédan),197.0,"""2025-07-11T22:00:00.000Z""",false,false
8,8,Stage 8 | Saint-Méen-le-Grand - Laval (Espace Mayenne),Saint-Méen-le-Grand,Laval (Espace Mayenne),171.4,"""2025-07-12T22:00:00.000Z""",false,false
9,9,Stage 9 | Chinon - Châteauroux,Chinon,Châteauroux,174.1,"""2025-07-13T22:00:00.000Z""",false,false
10,10,Stage 10 | Ennezat - Le Mont-Dore Puy de Sancy,Ennezat,Le Mont-Dore Puy de Sancy,165.3,"""2025-07-14T22:00:00.000Z""",false,false
11,11,Rest Day,,,,"""2025-07-15T22:00:00.000Z""",false,false
12,12,Stage 11 | Toulouse - Toulouse,Toulouse,Toulouse,156.8,"""2025-07-16T22:00:00.000Z""",false,false
13,13,Stage 12 | Auch - Hautacam,Auch,Hautacam,180.6,"""2025-07-17T22:00:00.000Z""",false,false
14,14,Stage 13 (ITT) | Loudenvielle - Peyragudes,Loudenvielle,Peyragudes,10.9,"""2025-07-18T22:00:00.000Z""",false,false
15,15,Stage 14 | Pau - Luchon-Superbagnères,Pau,Luchon-Superbagnères,182.6,"""2025-07-19T22:00:00.000Z""",false,false
16,16,Stage 15 | Muret - Carcassonne,Muret,Carcassonne,169.3,"""2025-07-20T22:00:00.000Z""",false,false
17,17,Rest Day,,,,"""2025-07-21T22:00:00.000Z""",false,false
18,18,Stage 16 | Montpellier - Mont Ventoux,Montpellier,Mont Ventoux,171.5,"""2025-07-22T22:00:00.000Z""",false,false
19,19,Stage 17 | Bollène - Valence,Bollène,Valence,160.4,"""2025-07-23T22:00:00.000Z""",false,false
20,20,Stage 18 | Vif - Courchevel (Col de la Loze),Vif,Courchevel (Col de la Loze),171.5,"""2025-07-24T22:00:00.000Z""",false,false
21,21,Stage 19 | Albertville - La Plagne,Albertville,La Plagne,93.1,"""2025-07-25T22:00:00.000Z""",false,false
43,22,Stage 20 | Nantua - Pontarlier,Nantua,Pontarlier,184.2,"""2025-07-26T22:00:00.000Z""",false,false
44,23,Stage 21 | Mantes-la-Ville - Paris (Champs-Élysées),Mantes-la-Ville,Paris (Champs-Élysées),132.3,"""2025-07-27T22:00:00.000Z""",false,false
