"id","team_pro_id","first_name","last_name","date_of_birth","nationality","weight_kg","height_m","photo_url","first_name_normalized","last_name_normalized","start_number"
"1","21","Tadej","Pogacar",,,,,,"tadej","pogacar","1"
"2","21","Joao","Almeida",,,,,,"joao","almeida","2"
"3","21","Jhonatan","Narvaez",,,,,,"jhonatan","narvaez","3"
"4","21","Nils","Politt","1994-03-06","Germany","75.0","1.85",,"nils","politt","4"
"5","21","Pavel","Sivakov","1997-07-11","France","65.0","1.88",,"pavel","sivakov","5"
"6","21","Marc","Soler","1993-11-22","Spain","70.0","1.86",,"marc","soler","6"
"7","21","Tim","Wellens","1991-05-10","Belgium","68.0","1.84",,"tim","wellens","7"
"8","21","Adam","Yates","1992-08-07","United Kingdom","58.0","1.73",,"adam","yates","8"
"9","18","Jonas","Vingegaard","1996-12-10","Denmark","60.0","1.75",,"jonas","vingegaard","11"
"10","18","Edoardo","Affini","1996-06-24","Italy","75.0","1.90",,"edoardo","affini","12"
"11","18","Tiesj","Benoot","1994-03-11","Belgium","70.0","1.90",,"tiesj","benoot","13"
"12","18","Victor","Campenaerts","1991-10-28","Belgium","75.0","1.88",,"victor","campenaerts","14"
"13","18","Matteo","Jorgenson","2000-07-01","United States","68.0","1.85",,"matteo","jorgenson","15"
"14","18","Sepp","Kuss","1994-09-13","United States","61.0","1.80",,"sepp","kuss","16"
"15","18","Wout","Van Aert","1994-09-15","Belgium","78.0","1.90",,"wout","van aert","17"
"16","18","Simon","Yates","1992-08-07","United Kingdom","58.0","1.72",,"simon","yates","18"
"17","15","Remco","Evenepoel","2000-01-25","Belgium","61.0","1.71",,"remco","evenepoel","21"
"18","15","Mattia","Cattaneo","1990-10-25","Italy","68.0","1.80",,"mattia","cattaneo","22"
"19","15","Pascal","Eenkhoorn","1997-02-08","Netherlands","72.0","1.88",,"pascal","eenkhoorn","23"
"20","15","Tim","Merlier","1992-10-30","Belgium","78.0","1.85",,"tim","merlier","24"
"21","15","Valentin","Paret-Peintre",,,,,,"valentin","paret-peintre","25"
"22","15","Maximilian","Schachmann","1994-01-09","Germany","70.0","1.85",,"maximilian","schachmann","26"
"23","15","Bert","Van Lerberghe",,,,,,"bert","van lerberghe","27"
"24","15","Ilan","Van Wilder","2000-05-14","Belgium","65.0","1.80",,"ilan","van wilder","28"
"25","7","Ben","Healy","2000-09-11","Ireland","65.0","1.80",,"ben","healy","31"
"26","7","Vincenzo","Albanese","1996-11-12","Italy","68.0","1.80",,"vincenzo","albanese","32"
"27","7","Kasper","Asgreen","1995-02-08","Denmark","75.0","1.92",,"kasper","asgreen","33"
"28","7","Alex","Baudin","1996-05-25","France","68.0","1.85",,"alex","baudin","34"
"29","7","Neilson","Powless","1996-09-03","United States","70.0","1.88",,"neilson","powless","35"
"30","7","Harry","Sweeny",,,,,,"harry","sweeny","36"
"31","7","Michael","Valgren","1992-02-07","Denmark","70.0","1.85",,"michael","valgren","37"
"32","7","Marijn","Van Den Berg","1999-07-19","Netherlands","75.0","1.88",,"marijn","van den berg","38"
"33","10","Biniam","Girmay","2000-04-02","Belgium","70.0","1.85",,"biniam","girmay","41"
"34","10","Louis","Barre",,,,,,"louis","barre","42"
"35","10","Vito","Braet","1995-10-18","Belgium","70.0","1.85",,"vito","braet","43"
"36","10","Hugo","Page","2001-07-24","France","65.0","1.80",,"hugo","page","44"
"37","10","Laurenz","Rex","1999-12-15","Belgium","70.0","1.85",,"laurenz","rex","45"
"38","10","Jonas","Rutsch","1998-01-09","Germany","75.0","1.88",,"jonas","rutsch","46"
"39","10","Roel","Van Sintmaartensdijk","2000-03-08","Netherlands","75.0","1.88",,"roel","van sintmaartensdijk","47"
"40","10","Georg","Zimmermann","1997-10-11","Germany","68.0","1.85",,"georg","zimmermann","48"
"41","3","Santiago","Buitrago","1999-09-11","Colombia","58.0","1.70",,"santiago","buitrago","51"
"42","3","Phil","Bauhaus","1994-07-08","Germany","78.0","1.88",,"phil","bauhaus","52"
"43","3","Kamil","Gradek","1990-09-17","Poland","75.0","1.88",,"kamil","gradek","53"
"44","3","Jack","Haig","1993-09-06","Australia","62.0","1.78",,"jack","haig","54"
"45","3","Lenny","Martinez",,,,,,"lenny","martinez","55"
"46","3","Matej","Mohoric",,,,,,"matej","mohoric","56"
"47","3","Robert","Stannard","1998-09-16","Australia","70.0","1.85",,"robert","stannard","57"
"48","3","Fred","Wright","1999-06-13","United Kingdom","70.0","1.85",,"fred","wright","58"
"49","9","Geraint","Thomas","1986-05-25","United Kingdom","71.0","1.83",,"geraint","thomas","61"
"50","9","Thymen","Arensman",,,,,,"thymen","arensman","62"
"51","9","Tobias","Foss",,,,,,"tobias","foss","63"
"52","9","Filippo","Ganna","1996-07-25","Italy","82.0","1.93",,"filippo","ganna","64"
"53","9","Axel","Laurance","2001-04-13","France","70.0","1.85",,"axel","laurance","65"
"54","9","Carlos","Rodriguez",,,,,,"carlos","rodriguez","66"
"55","9","Connor","Swift",,,,,,"connor","swift","67"
"56","9","Samuel","Watson",,,,,,"samuel","watson","68"
"57","4","Primoz","Roglic",,,,,,"primoz","roglic","71"
"58","4","Florian","Lipowitz",,,,,,"florian","lipowitz","72"
"59","4","Jordi","Meeus",,,,,,"jordi","meeus","73"
"60","4","Gianni","Moscon","1994-04-20","Italy","75.0","1.88",,"gianni","moscon","74"
"61","4","Laurence","Pithie",,,,,,"laurence","pithie","75"
"62","4","Mick","Van Dijke",,,,,,"mick","van dijke","76"
"63","4","Danny","Van Poppel","1993-07-26","Netherlands","78.0","1.85",,"danny","van poppel","77"
"64","4","Aleksandr","Vlasov","1996-04-23","Russia","65.0","1.85",,"aleksandr","vlasov","78"
"65","12","Jonathan","Milan",,,,,,"jonathan","milan","81"
"66","12","Simone","Consonni",,,,,,"simone","consonni","82"
"67","12","Thibau","Nys",,,,,,"thibau","nys","83"
"68","12","Quinn","Simmons","2001-05-08","United States","65.0","1.80",,"quinn","simmons","84"
"69","12","Mattias","Skjelmose",,,,,,"mattias","skjelmose","85"
"70","12","Toms","Skujins",,,,,,"toms","skujins","86"
"71","12","Jasper","Stuyven","1992-04-17","Belgium","75.0","1.88",,"jasper","stuyven","87"
"72","12","Edward","Theuns","1991-04-30","Belgium","75.0","1.88",,"edward","theuns","88"
"73","8","Guillaume","Martin","1993-06-09","France","62.0","1.78",,"guillaume","martin","91"
"74","8","Lewis","Askey",,,,,,"lewis","askey","92"
"75","8","Cyril","Barthe",,,,,,"cyril","barthe","93"
"76","8","Romain","Gregoire",,,,,,"romain","gregoire","94"
"77","8","Valentin","Madouas","1996-07-12","France","68.0","1.85",,"valentin","madouas","95"
"78","8","Quentin","Pacher","1992-01-06","France","68.0","1.85",,"quentin","pacher","96"
"79","8","Paul","Penhoet",,,,,,"paul","penhoet","97"
"80","8","Clement","Russo",,,,,,"clement","russo","98"
"81","1","Jasper","Philipsen","1998-03-02","Belgium","78.0","1.85",,"jasper","philipsen","101"
"82","1","Silvan","Dillier","1990-08-03","Switzerland","72.0","1.88",,"silvan","dillier","102"
"83","1","Kaden","Groves",,,,,,"kaden","groves","103"
"84","1","Xandro","Meurisse",,,,,,"xandro","meurisse","104"
"85","1","Jonas","Rickaert","1994-02-07","Belgium","78.0","1.88",,"jonas","rickaert","105"
"86","1","Mathieu","Van Der Poel","1995-01-19","Netherlands","75.0","1.84",,"mathieu","van der poel","106"
"87","1","Gianni","Vermeersch","1992-11-19","Belgium","75.0","1.88",,"gianni","vermeersch","107"
"88","1","Emiel","Verstrynge",,,,,,"emiel","verstrynge","108"
"89","20","Julian","Alaphilippe","1992-06-11","France","62.0","1.73",,"julian","alaphilippe","111"
"90","20","Alberto","Dainese",,,,,,"alberto","dainese","112"
"91","20","Marco","Haller","1991-04-01","Austria","78.0","1.88",,"marco","haller","113"
"92","20","Marc","Hirschi",,,,,,"marc","hirschi","114"
"93","20","Fabian","Lienhard",,,,,,"fabian","lienhard","115"
"94","20","Marius","Mayrhofer",,,,,,"marius","mayrhofer","116"
"95","20","Michael","Storer","1997-02-28","Australia","65.0","1.80",,"michael","storer","117"
"96","20","Matteo","Trentin",,,,,,"matteo","trentin","118"
"97","16","Ben","O'Connor",,,,,,"ben","o'connor","121"
"98","16","Eddie","Dunbar","1996-09-01","Ireland","62.0","1.78",,"eddie","dunbar","122"
"99","16","Luke","Durbridge",,,,,,"luke","durbridge","123"
"100","16","Dylan","Groenewegen","1993-06-21","Netherlands","78.0","1.88",,"dylan","groenewegen","124"
"101","16","Luka","Mezgec","1988-06-27","Slovenia","72.0","1.88",,"luka","mezgec","125"
"102","16","Luke","Plapp","2000-12-25","Australia","68.0","1.85",,"luke","plapp","126"
"103","16","Elmar","Reinders",,,,,,"elmar","reinders","127"
"104","16","Mauro","Schmid",,,,,,"mauro","schmid","128"
"105","2","Kevin","Vauquelin",,,,,,"kevin","vauquelin","131"
"106","2","Amaury","Capiot","1993-06-25","Belgium","75.0","1.88",,"amaury","capiot","132"
"107","2","Ewen","Costiou",,,,,,"ewen","costiou","133"
"108","2","Arnaud","Demare",,,,,,"arnaud","demare","134"
"109","2","Raul","Garcia Pierna",,,,,,"raul","garcia pierna","135"
"110","2","Mathis","Le Berre",,,,,,"mathis","le berre","136"
"111","2","Cristian","Rodriguez",,,,,,"cristian","rodriguez","137"
"112","2","Clement","Venturini",,,,,,"clement","venturini","138"
"113","14","Enric Mondiale Team","Mas",,,,,,"enric mondiale team","mas","141"
"114","14","Will","Barta",,,,,,"will","barta","142"
"115","14","Pablo","Castrillo",,,,,,"pablo","castrillo","143"
"116","14","Nelson","Oliveira","1989-03-06","Portugal","68.0","1.80",,"nelson","oliveira","144"
"117","14","Ivan","Garcia Cortina",,,,,,"ivan","garcia cortina","145"
"118","14","Gregor","Muhlberger",,,,,,"gregor","muhlberger","146"
"119","14","Ivan","Romeo",,,,,,"ivan","romeo","147"
"120","14","Einer","Rubio",,,,,,"einer","rubio","148"
"121","6","Felix","Gall","1998-02-27","Austria","62.0","1.78",,"felix","gall","151"
"122","6","Bruno","Armirail",,,,,,"bruno","armirail","152"
"123","6","Clement","Berthet",,,,,,"clement","berthet","153"
"124","6","Stefan","Bissegger",,,,,,"stefan","bissegger","154"
"125","6","Oliver","Naesen","1990-09-16","Belgium","75.0","1.88",,"oliver","naesen","155"
"126","6","Aurelien","Paret-Peintre",,,,,,"aurelien","paret-peintre","156"
"127","6","Callum","Scotson",,,,,,"callum","scotson","157"
"128","6","Bastien","Tronchon",,,,,,"bastien","tronchon","158"
"129","5","Emanuel","Buchmann","1992-11-18","Germany","60.0","1.75",,"emanuel","buchmann","161"
"130","5","Alex","Aranburu",,,,,,"alex","aranburu","162"
"131","5","Bryan","Coquard","1992-04-25","France","68.0","1.70",,"bryan","coquard","163"
