"id","name","code","country"
"1","Alpecin-Deceuninck","ADC","BEL"
"2","Arkéa - B&B Hotels","ARK","FRA"
"3","Bahrain - Victorious","TBV","BHR"
"4","Bora-Hansgrohe","BOH","GER"
"5","Cofidis","COF","FRA"
"6","Decathlon AG2R La Mondiale Team","DAT","FRA"
"7","EF Education-EasyPost","EFE","USA"
"8","Groupama - FDJ","GFC","FRA"
"9","INEOS Grenadiers","IGD","GBR"
"10","Intermarche - Wanty","ICW","BEL"
"11","Israel - Premier Tech","IPT","ISR"
"12","Lidl - Trek","LTK","USA"
"13","Lotto","LOT","BEL"
"14","Movistar Team","MOV","ESP"
"15","Soudal Quick-Step","SOQ","BEL"
"16","Team Jayco AlUla","JAY","AUS"
"17","Team Picnic PostNL","DSM","NED"
"18","Team Visma Lease a Bike","TVL","NED"
"19","TotalEnergies","TEN","FRA"
"20","Tudor Pro Cycling Team","TUD","SUI"
"21","UAE Team Emirates","UAD","UAE"
"22","Uno-X Mobility","UXM","NOR"
"23","XDS Astana Team","AST","KAZ"
