position,first_name,last_name,rider_id,team_name,time_seconds
1,Jasper,Philipsen,81,Alpecin-Deceuninck,13991
2,Biniam,Girmay,33,Intermarche - Wanty,13991
3,Soren,Waerenskjold,184,Uno-X Mobility,13991
4,Anthony,Turgis,151,TotalEnergies,13991
5,Matteo,Trentin,96,Tudor Pro Cycling Team,13991
6,Clement,Russo,80,Groupama - FDJ,13991
7,Paul,Penhoet,79,Groupama - FDJ,13991
8,Matteo,Jorgenson,13,Team Visma Lease a Bike,13991
9,Marius,Mayrhofer,94,Tudor Pro Cycling Team,13991
10,Samuel,Watson,56,INEOS Grenadiers,13991
11,Mike,Teunissen,143,XDS Astana Team,13991
12,Ivan,Garcia Cortina,117,Movistar Team,13991
13,Niklas,Markl,158,Team Picnic PostNL,13991
14,Harry,Sweeny,30,EF Education-EasyPost,13991
15,Krists,Neilands,167,Israel - Premier Tech,13991
16,Kevin,Vauquelin,105,Arkea - B&B Hotels,13991
17,Damien,Touze,136,Cofidis,13991
18,Tadej,Pogacar,1,UAE Team Emirates - XRG,13991
19,Pascal,Ackermann,162,Israel - Premier Tech,13991
20,Jonas,Vingegaard,9,Team Visma Lease a Bike,13991
21,Jasper,Stuyven,71,Lidl - Trek,13991
22,Marco,Haller,91,Tudor Pro Cycling Team,13991
23,Kaden,Groves,83,Alpecin-Deceuninck,13991
24,Kasper,Asgreen,27,EF Education-EasyPost,13991
25,Joseph,Blackmore,163,Israel - Premier Tech,13991
26,Luka,Mezgec,101,Team Jayco AlUla,13991
27,Tiesj,Benoot,11,Team Visma Lease a Bike,13991
28,Mathieu,van der Poel,86,Alpecin-Deceuninck,13991
29,Stian,Fredheim,180,Uno-X Mobility,13991
30,Tobias Halland,Johannessen,177,Uno-X Mobility,13991
31,Enric Mondiale Team,Mas,113,Movistar Team,13991
32,Tim,Wellens,7,UAE Team Emirates - XRG,13991
33,Cyril,Barthe,75,"Groupama - Fa,",13991
34,Jonas,Abrahamsen,178,Uno-X Mobility,14004
35,Jonas,Rickaert,85,Alpecin-Deceuninck,14004
36,Xandro,Meurisse,84,Alpecin-Deceuninck,14004
37,Davide,Ballerini,138,XDS Astana Team,14011
38,Edoardo,Affini,10,Team Visma Lease a Bike,14016
39,Jonathan,Milan,65,Lidl - Trek,14030
40,Arnaud,de Lie,169,Lotto,14030
41,Bryan,Coquard,131,Cofidis,14030
42,Jordi,Meeus,59,Red Bull - Bora - hansgrohe,14030
43,Pavel,Bittner,155,Team Picnic PostNL,14030
44,Alberto,Dainese,90,Tudor Pro Cycling Team,14030
