position,first_name,last_name,rider_id,team_name,time_seconds
1,Jasper,Philipsen,66,Alpecin-Deceuninck,13991
2,Biniam,Girmay,153,Intermarche - Wanty,13991
3,Søren,Wærenskjold,150,Uno-X Mobility,13991
4,Anthony,Turgis,,TotalEnergies,13991
5,Matteo,Trentin,,Tudor Pro Cycling Team,13991
6,Clement,Russo,,Groupama - FDJ,13991
7,Paul,Penhoet,,Groupama - FDJ,13991
8,Matteo,Jorgenson,169,Team Visma Lease a Bike,13991
9,Marius,Mayrhofer,,Tudor Pro Cycling Team,13991
10,Samuel,Watson,,INEOS Grenadiers,13991
11,Mike,Teunissen,155,XDS Astana Team,13991
12,Ivan,Garcia Cortina,117,Movistar Team,13991
13,Niklas,Maerkl,,Team Picnic PostNL,13991
14,Harry,Sweeny,48,EF Education-EasyPost,13991
15,Krists,Neilands,95,Israel - Premier Tech,13991
16,Kevin,Vauquelin,,Arkea - B&B Hotels,13991
17,Damien,Touze,,Cofidis,13991
18,Tadej,Pogacar,1,UAE Team Emirates - XRG,13991
19,Pascal,Ackermann,,Israel - Premier Tech,13991
20,Jonas,Vingegaard,9,Team Visma Lease a Bike,13991
21,Jasper,Stuyven,176,Lidl - Trek,13991
22,Marco,Haller,32,Tudor Pro Cycling Team,13991
23,Kaden,Groves,,Alpecin-Deceuninck,13991
24,Kasper,Asgreen,20,EF Education-EasyPost,13991
25,Joseph,Blackmore,163,Israel - Premier Tech,13991
26,Luka,Mezgec,104,Team Jayco AlUla,13991
27,Tiesj,Benoot,14,Team Visma Lease a Bike,13991
28,Mathieu,van der Po&,,Alpecin-Deceuninck,13991
29,Stian,Fredheim,,Uno-X Mobility,13991
30,Tobias,Johannessen,,Uno-X Mobility,13991
31,Enric,Mas,73,Movistar Team,13991
32,Tim,Wellens,7,UAE Team Emirates - XRG,13991
33,Cyril,Barthe,,"Groupama - Fa,",13991
34,Jonas,Abrahamson,,Uno-X Mobility,14004
35,Jonas,Rickaert,69,Alpecin-Deceuninck,14004
36,Xandro,Meurisse,84,Alpecin-Deceuninck,14004
37,Davide,Ballerini,,XDS Astana Team,14011
