start_number,first_name,last_name,team_name
1,Tadej,Pogacar,UAE Team Emirates
2,Joao,Almeida,UAE Team Emirates
3,Jhonatan,Narvaez,UAE Team Emirates
4,Nils,Politt,UAE Team Emirates
5,Pavel,Sivakov,UAE Team Emirates
6,Marc,Soler,UAE Team Emirates
7,Tim,Wellens,UAE Team Emirates
8,Adam,Yates,UAE Team Emirates
11,Jonas,Vingegaard,Team Visma Lease a Bike
12,Edoardo,Affini,Team Visma Lease a Bike
13,Tiesj,Benoot,Team Visma Lease a Bike
14,Victor,Campenaerts,Team Visma Lease a Bike
15,Matteo,Jorgenson,Team Visma Lease a Bike
16,Sepp,Kuss,Team Visma Lease a Bike
17,Wout,Van Aert,Team Visma Lease a Bike
18,Simon,Yates,Team Visma Lease a Bike
21,Remco,Evenepoel,Soudal Quick-Step
22,Mattia,Cattaneo,Soudal Quick-Step
23,Pascal,Eenkhoorn,Soudal Quick-Step
24,Tim,Merlier,Soudal Quick-Step
25,Valentin,Paret-Peintre,Soudal Quick-Step
26,Maximilian,Schachmann,Soudal Quick-Step
27,Bert,Van Lerberghe,Soudal Quick-Step
28,Ilan,Van Wilder,Soudal Quick-Step
31,Ben,Healy,EF Education-EasyPost
32,Vincenzo,Albanese,EF Education-EasyPost
33,Kasper,Asgreen,EF Education-EasyPost
34,Alex,Baudin,EF Education-EasyPost
35,Neilson,Powless,EF Education-EasyPost
36,Harry,Sweeny,EF Education-EasyPost
37,Michael,Valgren,EF Education-EasyPost
38,Marijn,Van Den Berg,EF Education-EasyPost
41,Biniam,Girmay,Intermarche - Wanty
42,Louis,Barre,Intermarche - Wanty
43,Vito,Braet,Intermarche - Wanty
44,Hugo,Page,Intermarche - Wanty
45,Laurenz,Rex,Intermarche - Wanty
46,Jonas,Rutsch,Intermarche - Wanty
47,Roel,Van Sintmaartensdijk,Intermarche - Wanty
48,Georg,Zimmermann,Intermarche - Wanty
51,Santiago,Buitrago,Bahrain - Victorious
52,Phil,Bauhaus,Bahrain - Victorious
53,Kamil,Gradek,Bahrain - Victorious
54,Jack,Haig,Bahrain - Victorious
55,Lenny,Martinez,Bahrain - Victorious
56,Matej,Mohoric,Bahrain - Victorious
57,Robert,Stannard,Bahrain - Victorious
58,Fred,Wright,Bahrain - Victorious
61,Geraint,Thomas,INEOS Grenadiers
62,Thymen,Arensman,INEOS Grenadiers
63,Tobias,Foss,INEOS Grenadiers
64,Filippo,Ganna,INEOS Grenadiers
65,Axel,Laurance,INEOS Grenadiers
66,Carlos,Rodriguez,INEOS Grenadiers
67,Connor,Swift,INEOS Grenadiers
68,Samuel,Watson,INEOS Grenadiers
71,Primoz,Roglic,Bora-Hansgrohe
72,Florian,Lipowitz,Bora-Hansgrohe
73,Jordi,Meeus,Bora-Hansgrohe
74,Gianni,Moscon,Bora-Hansgrohe
75,Laurence,Pithie,Bora-Hansgrohe
76,Mick,Van Dijke,Bora-Hansgrohe
77,Danny,Van Poppel,Bora-Hansgrohe
78,Aleksandr,Vlasov,Bora-Hansgrohe
81,Jonathan,Milan,Lidl - Trek
82,Simone,Consonni,Lidl - Trek
83,Thibau,Nys,Lidl - Trek
84,Quinn,Simmons,Lidl - Trek
85,Mattias,Skjelmose,Lidl - Trek
86,Toms,Skujins,Lidl - Trek
87,Jasper,Stuyven,Lidl - Trek
88,Edward,Theuns,Lidl - Trek
91,Guillaume,Martin,Groupama - FDJ
92,Lewis,Askey,Groupama - FDJ
93,Cyril,Barthe,Groupama - FDJ
94,Romain,Gregoire,Groupama - FDJ
95,Valentin,Madouas,Groupama - FDJ
96,Quentin,Pacher,Groupama - FDJ
97,Paul,Penhoet,Groupama - FDJ
98,Clement,Russo,Groupama - FDJ
101,Jasper,Philipsen,Alpecin-Deceuninck
102,Silvan,Dillier,Alpecin-Deceuninck
103,Kaden,Groves,Alpecin-Deceuninck
104,Xandro,Meurisse,Alpecin-Deceuninck
105,Jonas,Rickaert,Alpecin-Deceuninck
