"id","team_pro_id","first_name","last_name","date_of_birth","nationality","weight_kg","height_m","photo_url"
"1","1","Tadej","Pogačar","1998-09-21","Slovenia","66.0","1.76",
"2","1","João","Almeida","1998-08-05","Portugal","60.0","1.78",
"3","1","Jhonatan","Narváez","1997-06-04","Ecuador","65.0","1.80",
"4","1","Nils","Politt","1994-03-06","Germany","75.0","1.85",
"5","1","Pavel","Sivakov","1997-07-11","France","65.0","1.88",
"6","1","Marc","Soler","1993-11-22","Spain","70.0","1.86",
"7","1","Tim","Wellens","1991-05-10","Belgium","68.0","1.84",
"8","1","Adam","Yates","1992-08-07","United Kingdom","58.0","1.73",
"9","2","Jonas","Vingegaard","1996-12-10","Denmark","60.0","1.75",
"10","2","Wout","van Aert","1994-09-15","Belgium","78.0","1.90",
"11","2","Sepp","Kuss","1994-09-13","United States","61.0","1.80",
"12","2","Christophe","Laporte","1992-12-11","France","72.0","1.88",
"13","2","Dylan","van Baarle","1992-05-21","Netherlands","75.0","1.90",
"14","2","Tiesj","Benoot","1994-03-11","Belgium","70.0","1.90",
"15","2","Edoardo","Affini","1996-06-24","Italy","75.0","1.90",
"16","2","Victor","Campenaerts","1991-10-28","Belgium","75.0","1.88",
"17","3","Remco","Evenepoel","2000-01-25","Belgium","61.0","1.71",
"18","3","Julian","Alaphilippe","1992-06-11","France","62.0","1.73",
"19","3","Yves","Lampaert","1991-04-10","Belgium","78.0","1.88",
"20","3","Kasper","Asgreen","1995-02-08","Denmark","75.0","1.92",
"21","3","Mikkel","Honoré","1997-01-21","Denmark","68.0","1.85",
"22","3","Mattia","Cattaneo","1990-10-25","Italy","68.0","1.80",
"23","3","Pascal","Eenkhoorn","1997-02-08","Netherlands","72.0","1.88",
"24","3","Tim","Merlier","1992-10-30","Belgium","78.0","1.85",
"25","4","Primož","Roglič","1989-10-29","Slovenia","65.0","1.77",
"26","4","Jai","Hindley","1996-05-05","Australia","58.0","1.75",
"27","4","Emanuel","Buchmann","1992-11-18","Germany","60.0","1.75",
"28","4","Aleksandr","Vlasov","1996-04-23","Russia","65.0","1.85",
"29","4","Danny","van Poppel","1993-07-26","Netherlands","78.0","1.85",
"30","4","Matteo","Sobrero","1997-05-14","Italy","68.0","1.85",
"31","4","Nico","Denz","1994-02-15","Germany","70.0","1.85",
"32","4","Marco","Haller","1991-04-01","Austria","78.0","1.88",
"33","5","Geraint","Thomas","1986-05-25","United Kingdom","71.0","1.83",
"34","5","Tom","Pidcock","1999-07-30","United Kingdom","58.0","1.70",
"35","5","Carlos","Rodríguez","2001-02-02","Spain","58.0","1.73",
"36","5","Egan","Bernal","1997-01-13","Colombia","60.0","1.75",
"37","5","Filippo","Ganna","1996-07-25","Italy","82.0","1.93",
"38","5","Laurens","De Plus","1995-09-04","Belgium","68.0","1.85",
"39","5","Omar","Fraile","1990-07-17","Spain","68.0","1.83",
"40","5","Michal","Kwiatkowski","1990-06-02","Poland","70.0","1.76",
"41","6","Magnus","Cort","1993-01-16","Denmark","72.0","1.85",
"42","6","Neilson","Powless","1996-09-03","United States","70.0","1.88",
"43","6","Rigoberto","Urán","1987-01-26","Colombia","62.0","1.73",
"44","6","Richard","Carapaz","1993-05-23","Ecuador","62.0","1.70",
"45","6","Ben","Healy","2000-09-11","Ireland","65.0","1.80",
