id,stage_id,code,title,description,icon
1,,BLITZ_START,Bliksemstarter,Meeste punten in de openingsrit.,icons/Iconpng/BlitzStart.png
2,,DIESEL,De Diesel,Meeste consistente top-10 finishes zonder ritwinst.,icons/Iconpng/Diesel.png
3,,BERGGEIT,Berggeit van de Lage Landen,Hoogste score in bergetappes.,icons/Iconpng/Berggeit.png
4,,WAAIER,Waaierspecialist,Hoogste score in ritten met waaiers/windalarm.,icons/Iconpng/Waaier.png
5,,SPRINTER,Sprintkanon,Meeste sprintpunten in vlakke ritten.,icons/Iconpng/Sprinter.png
6,,TT_KING,Tijdrijkoning(in),Beste score in tijdritten.,icons/Iconpng/TT_King.png
7,,COMEBACK,Comeback Kid,Grootste stijging in het klassement in één etappe.,icons/Iconpng/Comeback.png
8,,HOUDINI,De Houdini,Vaakst in de top-20 zonder eruit te vallen.,icons/Iconpng/Houdini.png
9,,CONSISTENT,Mr./Ms. Consistent,Langste aaneengesloten reeks binnen de top-10.,icons/Iconpng/Consistent.png
10,,LUCKY_LOSER,Lucky Loser,Beste etappescore met het kleinste aantal actieve renners.,icons/Iconpng/LuckyLoser.png
11,,STOFFEERDER,De Stoffeerder,Hoogste score met de laagst geprijsde selectie.,icons/Iconpng/Stoffeerder.png
12,,UNDERDOG,Underdog Whisperer,Meeste punten van renners met lage populariteit.,icons/Iconpng/Underdog.png
13,,PUNTENVRETER,De Puntenvreter,Hoogste totaalpunten over alle etappes.,icons/Iconpng/puntenvreter.png
14,,DAGWINNERVRETER,Dagwinnervreter,Meeste etappe-overwinningen (dagwinst).,icons/Iconpng/DagWinnerVreter.png
15,,TRUIEN,Truienverzamelaar,Meeste punten uit truien (geel/groen/bolletjes/wit).,icons/Iconpng/Truien.png
16,,TEAMWORK,Teamwork Makes the Dream Work,Meeste etappes waarin ≥5 renners punten scoren.,icons/Iconpng/TeamWork.png
17,,KOP_OVER_KOP,Kop-over-Kop,Vaakst de nummer 1-positie in het klassement overgenomen.,icons/Iconpng/KopOverKop.png
18,,MID_RANGE,Mister/Miss Negentig,Beste gemiddelde score in ritten van 90-120 km.,icons/Iconpng/MidRange.png
19,,STILLE_WATEREN,Stille Wateren,Top-5 eindklassering met de minste prikbordberichten.,icons/Iconpng/STILLE_WATEREN.png
20,,PLOEGLEIDER,Ploegleider van het Jaar,Hoogste eindsaldo na alle etappes (incl. trui/bonus).,icons/Iconpng/Ploegleider.png
21,,STIJGER_VD_DAG,Stijger van de dag,Grootste klassementssprong in de meest recente etappe.,icons/icoonstijgervandedag.svg
22,,PODIUM_1,Dagwinnaar,1e plaats in een etappe (meeste etappepunten).,icons/IcoonEerstePlaats.svg
23,,PODIUM_2,Tweede plaats,2e plaats in een etappe (tweede etappepunten).,icons/icoontweedeplaats.svg
24,,PODIUM_3,Derde plaats,3e plaats in een etappe (derde etappepunten).,icons/icoonderdeplaats.svg
